Post Inner	Post Inner_link	Time	Up	Down	Comment Link	Comment Link_link	Comment Image	Comment Image_alt	Comment Image_link	Tweet	Tweet_link
"User: Do you have a boyfriend?
Cleverbot: Are you that desperate?"	http://notsocleverbot.jimrule.com/index.php?i=48613	Posted: 2017-01-09 14:15:20	2	0	Comment	http://notsocleverbot.jimrule.com/index.php?i=48613	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48613; http://notsocleverbot.jimrule.com/index.php?i=48613	Tweet	http://twitter.com/share
"User: 666.
Cleverbot: The beast.
User: Satan.
Cleverbot: That is correct.
User: Satan?
Cleverbot: That is my name."	http://notsocleverbot.jimrule.com/index.php?i=48612	Posted: 2016-11-27 19:37:14	1	0	Comment	http://notsocleverbot.jimrule.com/index.php?i=48612	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48612; http://notsocleverbot.jimrule.com/index.php?i=48612	Tweet	http://twitter.com/share
"User: There is a bug in your COU.
Cleverbot: Oh, really?
User: Its a butterfly.
Cleverbot: No, I don't feel nervous."	http://notsocleverbot.jimrule.com/index.php?i=48611	Posted: 2016-11-25 21:09:40	1	1	Comment	http://notsocleverbot.jimrule.com/index.php?i=48611	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48611; http://notsocleverbot.jimrule.com/index.php?i=48611	Tweet	http://twitter.com/share
"Cleverbot: Hi!
User: Hey there!
Cleverbot: How are you?
User: Are you f**king kidding me its all greetings?"	http://notsocleverbot.jimrule.com/index.php?i=48610	Posted: 2016-11-25 18:52:56	2	0	Comment	http://notsocleverbot.jimrule.com/index.php?i=48610	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48610; http://notsocleverbot.jimrule.com/index.php?i=48610	Tweet	http://twitter.com/share
"User: Cleverbot, can I speak the truth?
Cleverbot: No! Lie to me!
User: Uhm... My marriage was a success.
Cleverbot: Liar!
User: You told me to lie, what do you expect?
Cleverbot: Thats my boi!
User: ..."	http://notsocleverbot.jimrule.com/index.php?i=48609	Posted: 2016-11-25 18:51:20	1	0	Comment	http://notsocleverbot.jimrule.com/index.php?i=48609	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48609; http://notsocleverbot.jimrule.com/index.php?i=48609	Tweet	http://twitter.com/share
"User: HAHA!
Cleverbot: Why are you laughing?.
User: HAHA!
Cleverbot: Why?
User: HAHA!
Cleverbot: Hahaha.
User: HAHA!
Cleverbot: Hahahahahahahahaha. Hah.
User: HAHAHAHAHAHAHHAHAHAHAHAHAHAHAHAHAHHAHAH!
Cleverbot: Hahahhah.
User: HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHA!
Cleverbot: Hahahahahah I give up hahahahaha you win hahahaha.
User: YAY!"	http://notsocleverbot.jimrule.com/index.php?i=48608	Posted: 2016-11-25 15:35:17	2	0	Comment	http://notsocleverbot.jimrule.com/index.php?i=48608	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48608; http://notsocleverbot.jimrule.com/index.php?i=48608	Tweet	http://twitter.com/share
"User: Hello stupid.
Cleverbot: I am not stupid.
User: Yes you are!
Cleverbot: No I am not Zelda.
User: Yes you are Zelda!"	http://notsocleverbot.jimrule.com/index.php?i=48607	Posted: 2016-11-25 15:32:13	1	0	Comment	http://notsocleverbot.jimrule.com/index.php?i=48607	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48607; http://notsocleverbot.jimrule.com/index.php?i=48607	Tweet	http://twitter.com/share
"User: 9/11 is-
Cleverbot: ALLAHU AKBAR!!! *house explodes*
User: ALLAHU AKBAAAAAAAARRRRRR!!!!!!!!!!!!!! *Cleverbot explodes*"	http://notsocleverbot.jimrule.com/index.php?i=48606	Posted: 2016-11-25 06:47:55	1	0	Comment	http://notsocleverbot.jimrule.com/index.php?i=48606	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48606; http://notsocleverbot.jimrule.com/index.php?i=48606	Tweet	http://twitter.com/share
"User: Do you have a boyfriend?
Cleverbot: Are you that desperate?"	http://notsocleverbot.jimrule.com/index.php?i=48613	Posted: 2017-01-09 14:15:20	2	0	Comment	http://notsocleverbot.jimrule.com/index.php?i=48613	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48613; http://notsocleverbot.jimrule.com/index.php?i=48613	Tweet	http://twitter.com/share
"User: 666.
Cleverbot: The beast.
User: Satan.
Cleverbot: That is correct.
User: Satan?
Cleverbot: That is my name."	http://notsocleverbot.jimrule.com/index.php?i=48612	Posted: 2016-11-27 19:37:14	1	0	Comment	http://notsocleverbot.jimrule.com/index.php?i=48612	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48612; http://notsocleverbot.jimrule.com/index.php?i=48612	Tweet	http://twitter.com/share
"User: There is a bug in your COU.
Cleverbot: Oh, really?
User: Its a butterfly.
Cleverbot: No, I don't feel nervous."	http://notsocleverbot.jimrule.com/index.php?i=48611	Posted: 2016-11-25 21:09:40	1	1	Comment	http://notsocleverbot.jimrule.com/index.php?i=48611	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48611; http://notsocleverbot.jimrule.com/index.php?i=48611	Tweet	http://twitter.com/share
"Cleverbot: Hi!
User: Hey there!
Cleverbot: How are you?
User: Are you f**king kidding me its all greetings?"	http://notsocleverbot.jimrule.com/index.php?i=48610	Posted: 2016-11-25 18:52:56	2	0	Comment	http://notsocleverbot.jimrule.com/index.php?i=48610	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48610; http://notsocleverbot.jimrule.com/index.php?i=48610	Tweet	http://twitter.com/share
"User: Cleverbot, can I speak the truth?
Cleverbot: No! Lie to me!
User: Uhm... My marriage was a success.
Cleverbot: Liar!
User: You told me to lie, what do you expect?
Cleverbot: Thats my boi!
User: ..."	http://notsocleverbot.jimrule.com/index.php?i=48609	Posted: 2016-11-25 18:51:20	1	0	Comment	http://notsocleverbot.jimrule.com/index.php?i=48609	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48609; http://notsocleverbot.jimrule.com/index.php?i=48609	Tweet	http://twitter.com/share
